Event Id | Investigation Type | Accident Number | Event Date | Location | Country | Latitude | Longitude | Airport Code | Airport Name | Injury Severity | Aircraft Damage | Aircraft Category | Registration Number | Make | Model | Amateur Built | Number of Engines | Engine Type | FAR Description | Schedule | Purpose of Flight | Air Carrier | Total Fatal Injuries | Total Serious Injuries | Total Minor Injuries | Total Uninjured | Weather Condition | Broad Phase of Flight | Report Status | Publication Date | 
20151202X00813 | Accident | ERA16LA055 | 12/01/2015 | Venice, FL | United States | 27.100000 | -82.433334 |  | N/A | Non-Fatal | Substantial | Helicopter | N8560M | ROBINSON | R22 | No | 1 | Reciprocating | Part 91: General Aviation |  | Instructional |  |  | 1 | 1 |  | VMC |  | Factual <br />04/12/2017<br/>Final <br />05/23/2017 | 05/23/2017 | 
20151201X72017 | Accident | ERA16LA054 | 11/26/2015 | Destin, FL | United States | 30.400000 | -86.471389 | DTS | Destin Executive | Non-Fatal | Substantial | Helicopter | N7512N | ROBINSON HELICOPTER COMPANY | R44 II | No | 1 | Reciprocating | Part 91: General Aviation |  | Other Work Use |  |  |  |  | 4 | VMC | OTHER | Factual <br />04/18/2019<br/>Final <br />06/25/2019 | 06/25/2019 | 
20151124X85143 | Accident | WPR16LA032 | 11/24/2015 | Carlisle, WA | United States | 47.147777 | -124.071945 |  | N/A | Non-Fatal | Substantial | Helicopter | N50713 | HUGHES | 369D | No | 1 | Turbo Shaft | Part 91: General Aviation |  | Positioning |  |  |  |  | 1 | VMC |  | Factual <br />04/05/2017<br/>Final <br />06/20/2017 | 06/20/2017 | 
20151124X35420 | Accident | ANC16WA008 | 11/22/2015 | Annaka City, Japan | Japan |  |  |  |  | Fatal(2) | Destroyed | Helicopter |  | ROBINSON | R22 | No |  |  |  |  |  |  | 2 |  |  |  |  | MANEUVERING | Foreign |  | 
20151123X54714 | Accident | CEN16WA048 | 11/21/2015 | Justo Romero, Nicaragua | Nicaragua | 11.881667 | -86.112500 |  | N/A | Non-Fatal | Substantial | Helicopter |  | BELL | 407 | No |  | Turbo Shaft | Non-U.S., Non-Commercial |  | Unknown |  |  |  |  | 3 |  | CRUISE | Foreign |  | 
20151202X05945 | Accident | WPR16WA034 | 11/21/2015 | Fox Glacier, New Zealand | New Zealand |  |  |  |  | Fatal(7) | Substantial | Helicopter |  | EUROCOPTER | AS350 | No |  |  |  |  |  |  | 7 |  |  |  |  |  | Foreign |  | 
20151119X93456 | Accident | GAA16LA056 | 11/19/2015 | Apple Valley, CA | United States | 34.599166 | -117.190555 |  | N/A | Non-Fatal | Substantial | Helicopter | N36RX | AIRBUS | EC135 | No | 2 | Turbo Shaft | Part 135: Air Taxi & Commuter | NSCH |  | REACH AIR MEDICAL SERVICES, LLC |  |  |  | 5 | VMC | LANDING | Factual <br />03/10/2016<br/>Final <br />11/29/2016 | 11/29/2016 | 
20151118X05037 | Accident | WPR16FA029 | 11/18/2015 | Carlsbad, CA | United States | 33.127223 | -117.280000 | CRQ | MC CLELLAN-PALOMAR | Fatal(2) | Substantial | Helicopter | N711BE | AIRBUS HELICOPTERS | AS350B3E | No | 1 | Turbo Shaft | Part 91: General Aviation |  | Personal |  | 2 |  |  |  | VMC | LANDING | Factual <br />11/07/2017<br/>Final <br />12/11/2017 | 12/11/2017 | 
20151118X20221 | Accident | CEN16WA044 | 11/17/2015 | San Carlos, Nicaragua | Nicaragua | 11.128334 | -84.670556 |  | N/A | Fatal(3) | Destroyed | Helicopter |  | BELL | 206 | No | 1 |  | Non-U.S., Non-Commercial |  | Business |  | 3 |  |  |  |  | UNKNOWN | Foreign |  | 
20151120X64809 | Accident | CEN16LA047 | 11/16/2015 | Goshen, IN | United States | 41.526667 | 85.793333 | GSH | Goshen Municipal | Non-Fatal | Substantial | Helicopter | N88HA | EUROCOPTER | EC120B | No | 1 | Turbo Shaft | Part 91: General Aviation |  | Instructional |  |  |  |  | 2 | VMC |  | Preliminary<br />06/17/2019 | 06/17/2019 | 
20151030X93614 | Accident | CEN16LA040 | 11/14/2015 | Sugarland, TX | United States | 29.882223 | -95.916945 |  | N/A | Non-Fatal | Substantial | Helicopter | N7058Z | ROBINSON HELICOPTER | R22 BETA | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  | 1 |  | VMC | MANEUVERING | Factual <br />02/15/2017<br/>Final <br />03/23/2017 | 03/23/2017 | 
20151116X85351 | Accident | CEN16LA039 | 11/13/2015 | Alpine, TX | United States | 30.119445 | -103.633056 | PVT | Private | Non-Fatal | Substantial | Helicopter | N449MC | ROBINSON HELICOPTER COMPANY | R44 II | No | 1 | Reciprocating | Part 91: General Aviation |  | Aerial Observation |  |  | 2 | 1 | 1 | VMC | MANEUVERING | Factual <br />07/26/2016<br/>Final <br />11/29/2016 | 11/29/2016 | 
20151123X63526 | Accident | ERA16WA048 | 11/11/2015 | Sirinhaem Municipality, Brazil | Brazil | -8.508056 | -35.175834 |  | N/A | Non-Fatal | Substantial | Helicopter |  | ROBINSON | R66 | No | 1 | Turbo Shaft | Non-U.S., Non-Commercial |  | Unknown |  |  |  |  | 2 |  | LANDING | Foreign |  | 
20151204X43427 | Accident | ERA16CA060 | 11/06/2015 | Monongahela, PA | United States | 40.182223 | -79.910000 | 5PA5 | MONONGAHELA VALLEY HOSPITAL | Non-Fatal | Substantial | Helicopter | N639ME | EUROCOPTER DEUTSCHLAND GMBH | EC 135 | No | 2 | Turbo Shaft | Part 135: Air Taxi & Commuter | NSCH |  | CENTER FOR EMERGENCY MEDICINE OF WESTERN |  |  |  | 4 | VMC | TAKEOFF | Factual <br />01/07/2016<br/>Final <br />01/15/2016 | 01/15/2016 | 
20151110X43151 | Accident | GAA16CA045 | 11/04/2015 | Mount Pocono, PA | United States | 41.139722 | -75.376667 | MPO | POCONO MOUNTAINS MUNI | Non-Fatal | Substantial | Helicopter | N21496 | SCHWEIZER | 269C 1 | No | 1 | Reciprocating | Part 91: General Aviation |  | Instructional |  |  |  |  | 1 | VMC | TAKEOFF | Factual <br />01/26/2016<br/>Final <br />02/08/2016 | 02/08/2016 | 
20151103X52016 | Accident | WPR16LA021 | 11/03/2015 | Sedro-Woolley, WA | United States | 48.416389 | -121.982778 |  | N/A | Non-Fatal | Substantial | Helicopter | N510PA | MD HELICOPTER | 369D | No | 1 | Turbo Shaft | Part 133: Rotorcraft Ext. Load |  | External Load |  |  |  |  | 1 | VMC | MANEUVERING | Factual <br />08/03/2017<br/>Final <br />09/06/2017 | 09/06/2017 | 
20151103X11156 | Accident | WPR16LA020 | 11/02/2015 | Dallas, OR | United States | 45.006944 | -123.401944 |  | N/A | Non-Fatal | Substantial | Helicopter | N22743 | BELL | 206B | No | 1 | Turbo Shaft | Part 133: Rotorcraft Ext. Load |  | External Load |  |  |  | 1 |  | VMC | MANEUVERING | Factual <br />10/26/2017<br/>Final <br />01/25/2018 | 01/25/2018 | 
20151104X14945 | Accident | CEN16LA027 | 11/02/2015 | San Antonio, TX | United States | 29.533889 | -98.469167 | KSAT | San Antonio International | Non-Fatal | Substantial | Helicopter | N496AE | BELL | 407 | No | 1 | Turbo Shaft | Part 135: Air Taxi & Commuter | NSCH |  | Air Evac EMS, Inc. |  |  |  | 3 | VMC | MANEUVERING | Factual <br />03/08/2016<br/>Final <br />07/12/2017 | 07/12/2017 | 
20151102X41519 | Accident | ERA16LA030 | 10/30/2015 | Marion, SC | United States | 34.267500 | -79.354722 |  | N/A | Non-Fatal | Substantial | Helicopter | N920JP | HUGHES | 369D | No | 1 | Turbo Shaft | Part 133: Rotorcraft Ext. Load |  | External Load |  |  |  |  | 1 | VMC | CRUISE | Factual <br />04/07/2017<br/>Final <br />05/23/2017 | 05/23/2017 | 
20151102X93015 | Accident | DCA16RA014 | 10/30/2015 | Tronzano Vercellese, Italy | Italy |  |  |  |  | Fatal(2) | Destroyed | Helicopter | N609AG | BELL HELICOPTER TEXTRON INC | 609 | No | 2 | Turbo Prop | Non-U.S., Non-Commercial |  | Flight Test |  | 2 |  |  |  |  | MANEUVERING | Foreign |  | 
20151104X84701 | Accident | GAA16CA039 | 10/30/2015 | Cameron, LA | United States | 29.390555 | -93.446111 | 167 | West Cameron 167 | Non-Fatal | Substantial | Helicopter | N420PH | BELL | 407 | No | 1 | Turbo Shaft | Part 135: Air Taxi & Commuter | NSCH |  | PHI INC. |  |  |  | 1 | VMC | STANDING | Factual <br />01/26/2016<br/>Final <br />02/08/2016 | 02/08/2016 | 
20151029X04311 | Accident | ANC16WA002 | 10/27/2015 | Asquinth, Canada | Canada |  |  |  |  | Fatal(1) |  | Helicopter |  | BELL | 206B | No |  |  |  |  |  |  | 1 |  |  |  |  | CRUISE | Foreign |  | 
20151027X81925 | Accident | GAA16LA031 | 10/26/2015 | Deadhorse, AK | United States | 69.785833 | -148.642500 |  | N/A | Non-Fatal | Substantial | Helicopter | C-GSLY | AIRBUS | AS350 | No | 1 | Turbo Shaft | Part 91: General Aviation |  | Other Work Use |  |  |  |  | 1 | IMC | APPROACH | Factual <br />07/27/2016<br/>Final <br />08/01/2016 | 08/01/2016 | 
20151124X23503 | Accident | ERA16WA049 | 10/25/2015 | Guarani Municipality, Brazil | Brazil | -21.415556 | -43.037777 |  | N/A | Fatal(1) | Substantial | Helicopter |  | ROBINSON | R44 | No | 1 | Reciprocating | Non-U.S., Non-Commercial |  | Personal |  | 1 |  | 1 |  |  | TAKEOFF | Foreign |  | 
20151029X24739 | Accident | WPR16LA019 | 10/24/2015 | Folsom, CA | United States | 38.735833 | -121.126667 |  | N/A | Non-Fatal | Substantial | Helicopter | N911WL | AMERICAN EUROCOPTER LLC | AS350B3 | No | 1 | Turbo Shaft | Public Aircraft |  | Instructional |  |  |  |  | 3 | VMC | LANDING | Factual <br />04/30/2018<br/>Final <br />07/16/2018 | 07/16/2018 | 
20151209X92855 | Accident | GAA16CA071 | 10/20/2015 | Christmas Island, Kiribati | Kiribati | -2.000000 | -157.000000 |  | N/A | Non-Fatal | Substantial | Helicopter | N1060C | BELL | 206 | No | 1 | Turbo Shaft | Part 91: General Aviation |  | Other Work Use |  |  |  |  | 1 | VMC | TAKEOFF | Factual <br />01/15/2016<br/>Final <br />02/08/2016 | 02/08/2016 | 
20151119X45914 | Accident | GAA16CA055 | 10/18/2015 | Searchlight, NV | United States | 35.488611 | -115.000000 |  | N/A | Non-Fatal | Substantial | Helicopter | N73224 | BELL | 47G | No | 1 | Reciprocating | Part 91: General Aviation |  | Other Work Use |  |  |  |  | 1 | VMC |  | Factual <br />03/03/2016<br/>Final <br />03/14/2016 | 03/14/2016 | 
20151015X81026 | Accident | ERA16LA015 | 10/15/2015 | Dickinson, AL | United States | 31.759167 | -87.699444 |  | N/A | Non-Fatal | Substantial | Helicopter | N206CJ | BELL | 206L 3 | No | 1 | Turbo Shaft | Part 137: Agricultural |  | Aerial Application |  |  |  |  | 1 | VMC | MANEUVERING | Factual <br />10/05/2017<br/>Final <br />10/17/2017 | 10/17/2017 | 
20151013X15100 | Accident | CEN16WA009 | 10/06/2015 | Xalapa, Mexico | Mexico | 19.486944 | -96.798889 |  |  | Fatal(2) | Destroyed | Helicopter |  | BELL | 430 | No |  |  |  |  |  |  | 2 |  |  |  |  | UNKNOWN | Foreign |  | 
20151007X90503 | Accident | GAA16CA009 | 10/06/2015 | Ketchikan, AK | United States | 55.782500 | -131.668334 |  | N/A | Non-Fatal | Substantial | Helicopter | N779DZ | ROBINSON HELICOPTER COMPANY | R44 II | No | 1 | Reciprocating | Part 135: Air Taxi & Commuter | NSCH |  | POLLUX AVIATION LTD (DBA: POLLUX AVIATION LTD) |  |  |  | 1 | VMC | STANDING | Factual <br />11/10/2015<br/>Final <br />12/03/2015 | 12/03/2015 | 
20151006X02643 | Accident | GAA16CA006 | 10/05/2015 | Devine, TX | United States | 29.107778 | -98.946666 |  | N/A | Non-Fatal | Substantial | Helicopter | N174CD | ROBINSON HELICOPTER COMPANY | R44 II | No | 1 | Reciprocating | Part 91: General Aviation |  | Business |  |  |  |  | 1 | VMC | TAKEOFF | Factual <br />12/11/2015<br/>Final <br />12/17/2015 | 12/17/2015 | 
20151005X73730 | Accident | CEN16LA003 | 10/05/2015 | Huntsville, TX | United States | 30.707222 | -95.287222 |  | N/A | Non-Fatal | Substantial | Helicopter | N160CS | BELL | 47G | No | 1 | Turbo Shaft | Part 137: Agricultural |  | Aerial Application |  |  |  | 1 |  | VMC | MANEUVERING | Factual <br />11/07/2016<br/>Final <br />01/18/2017 | 01/18/2017 | 
20151007X22546 | Accident | CEN16LA006 | 10/05/2015 | Parkston, SD | United States | 43.383334 | -97.981667 |  | N/A | Non-Fatal | Substantial | Helicopter | N442RP | ROBINSON HELICOPTER | R44 | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  | 2 | 2 |  | VMC | TAKEOFF | Factual <br />09/11/2018<br/>Final <br />11/15/2018 | 11/15/2018 | 
20150925X54046 | Accident | ERA15LA376 | 09/25/2015 | Eustis, FL | United States | 28.835000 | -81.581667 |  | N/A | Non-Fatal | Substantial | Helicopter | N9567F | HUGHES | 269 | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  | 2 |  |  | VMC | APPROACH | Factual <br />01/27/2016<br/>Final <br />05/11/2016 | 05/11/2016 | 
20151105X60646 | Accident | CEN15WA447 | 09/24/2015 | San Agustine Guatemala, Guatemala | Guatemala |  |  |  |  | Non-Fatal | Substantial | Helicopter |  | BELL | 407 |  |  |  |  |  |  |  |  |  |  | 5 |  | DESCENT | Foreign |  | 
20150925X44635 | Accident | CEN15LA423 | 09/24/2015 | Woodville, TX | United States | 30.788055 | -94.656389 |  | N/A | Non-Fatal | Substantial | Helicopter | N648CA | BELL | 206B | No | 1 | Turbo Shaft | Part 137: Agricultural |  | Aerial Application |  |  | 1 |  |  | VMC | MANEUVERING | Factual <br />12/04/2015<br/>Final <br />01/21/2016 | 01/21/2016 | 
20151007X80252 | Accident | GAA15LA296 | 09/24/2015 | Ozark, AL | United States | 31.432223 | -85.571667 |  | N/A | Non-Fatal | Substantial | Helicopter | N49660 | BELL | 206 | No | 1 | Turbo Shaft | Part 91: General Aviation |  | Personal |  |  |  |  | 5 | VMC | MANEUVERING | Factual <br />03/04/2016<br/>Final <br />06/01/2016 | 06/01/2016 | 
20150924X44711 | Accident | ERA15WA370 | 09/23/2015 | Maceio, Brazil | Brazil | -9.522778 | -35.783611 |  | N/A | Fatal(4) | Destroyed | Helicopter |  | BELL | 206 | No | 1 | Turbo Shaft |  |  |  |  | 4 |  |  |  |  | CRUISE | Foreign |  | 
20150929X53540 | Accident | GAA15CA280 | 09/22/2015 | West Palm Beach, FL | United States | 26.591111 | -80.081945 | LNA | PALM BEACH COUNTY PARK | Non-Fatal | Substantial | Helicopter | N44XL | ROBINSON HELICOPTER | R44 | No | 1 | Reciprocating | Part 91: General Aviation |  | Instructional |  |  |  |  | 2 | VMC | LANDING | Factual <br />10/28/2015<br/>Final <br />11/05/2015 | 11/05/2015 | 
20150925X25906 | Accident | ERA15LA374 | 09/20/2015 | Thomaston, GA | United States | 32.791944 | -84.239722 |  | N/A | Non-Fatal | Destroyed | Helicopter | N165BH | BELL | 206 | No | 1 | Turbo Shaft | Part 137: Agricultural |  | Aerial Application |  |  |  |  | 1 | VMC | LANDING | Factual <br />09/28/2017<br/>Final <br />10/17/2017 | 10/17/2017 | 
20150921X21024 | Accident | ERA15CA364 | 09/19/2015 | Hartford, AL | United States | 31.129445 | -85.653889 |  | N/A | Non-Fatal | Substantial | Helicopter | N141LL | HUGHES | 269B | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  | 2 |  | VMC | TAKEOFF | Factual <br />12/04/2015<br/>Final <br />01/15/2016 | 01/15/2016 | 
20150919X00213 | Accident | WPR15LA261 | 09/18/2015 | Forest Grove, OR | United States | 45.539722 | -123.114167 |  | N/A | Non-Fatal | Substantial | Helicopter | N290R | SCHWEIZER | 269C | No | 1 | Reciprocating | Part 91: General Aviation |  | Positioning |  |  |  | 1 |  | VMC | MANEUVERING | Factual <br />05/23/2016<br/>Final <br />07/11/2016 | 07/11/2016 | 
20150922X33847 | Accident | ANC15LA073 | 09/18/2015 | Fort Glenn, AK | United States | 53.166667 | -168.383334 |  | N/A | Non-Fatal | Substantial | Helicopter | N7162R | ROBINSON HELICOPTER | R44 | No | 1 | Reciprocating | Part 91: General Aviation |  | Other Work Use |  |  |  |  | 1 | VMC | MANEUVERING | Factual <br />09/13/2018<br/>Final <br />11/15/2018 | 11/15/2018 | 
20151008X91922 | Accident | CEN15LA439 | 09/14/2015 | Alice, TX | United States | 27.752222 | 98.069723 |  | N/A | Non-Fatal | Substantial | Helicopter | N442CF | ROBINSON HELICOPTER COMPANY | R44 II | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  |  | 2 | VMC | LANDING | Factual <br />06/13/2018<br/>Final <br />09/11/2018 | 09/11/2018 | 
20151002X31833 | Accident | WPR15WA271 | 09/13/2015 | Chong Qing, China, China | China | 30.665833 | 107.898333 |  |  | Fatal(4) | Substantial | Helicopter |  | BELL | 407 | No |  |  |  |  |  |  | 4 |  |  |  |  | UNKNOWN | Foreign |  | 
20150914X44239 | Accident | CEN15LA412 | 09/12/2015 | Stuart, IA | United States | 41.496944 | -94.327500 |  | N/A | Non-Fatal | Substantial | Helicopter | N135PA | GUISINGER GARY G | BABY BELLE | Yes | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  | 1 | 1 | VMC | MANEUVERING | Factual <br />07/05/2016<br/>Final <br />10/03/2016 | 10/03/2016 | 
20160411X70823 | Accident | CEN15WA454 | 09/09/2015 | Foleyet, Canada | Canada | 47.959444 | -82.508889 |  |  | Fatal(2) |  | Helicopter |  | Robinson | R44 | No | 1 |  | Unknown |  |  |  | 2 |  |  |  |  | CRUISE | Foreign |  | 
20150915X30504 | Accident | GAA15CA258 | 09/09/2015 | Draper, UT | United States | 40.526389 | -111.755000 |  | N/A | Non-Fatal | Substantial | Helicopter | N253HP | AIRBUS | AS350 | No | 1 | Turbo Shaft | Public Use |  | Public Aircraft - State |  |  |  |  | 2 | VMC | MANEUVERING | Factual <br />10/28/2015<br/>Final <br />05/11/2016 | 05/11/2016 | 
20150903X44600 | Accident | WPR15LA257 | 09/03/2015 | Manra Island, Kiribati | Kiribati | -5.716667 | -166.116667 |  | N/A | Fatal(1) | Destroyed | Helicopter | N9068F | HUGHES | 369HS | No | 1 | Turbo Shaft | Part 91: General Aviation |  | Aerial Observation |  | 1 | 1 |  |  | VMC | MANEUVERING | Factual <br />10/05/2017<br/>Final <br />10/23/2017 | 10/23/2017 | 
20150903X31635 | Accident | ERA15LA337 | 09/03/2015 | New Smyrna Beach, FL | United States | 29.083889 | -81.766945 |  | N/A | Non-Fatal | Substantial | Helicopter | N16056 | MCDONNELL DOUGLAS HELICOPTER | 369E | No | 1 | Turbo Shaft | Public Use |  | Aerial Application |  |  | 1 |  |  | VMC | MANEUVERING | Factual <br />10/27/2015<br/>Final <br />11/30/2015 | 11/30/2015 | 
20151002X00617 | Accident | CEN15WA435 | 09/02/2015 | Sept-Iles, Canada | Canada |  |  |  |  | Unavailable | Substantial | Helicopter |  | BELL | 206B | No |  |  |  |  |  |  |  |  |  |  |  | MANEUVERING | Foreign |  | 
20150909X05011 | Accident | ERA15WA346 | 09/01/2015 | Boyaca, Colombia | Colombia | 6.187777 | -72.471111 |  | N/A | Non-Fatal | Substantial | Helicopter |  | BELL | 206L-3 | No |  |  | Non-U.S., Non-Commercial |  | Unknown |  |  |  | 3 |  | VMC | TAKEOFF | Foreign |  | 
20150828X82523 | Accident | CEN15LA387 | 08/28/2015 | Cheyenne, WY | United States | 41.097222 | -104.827223 | KCYS | Cheyenne Regional/Jerry Olson | Non-Fatal | Substantial | Helicopter | N440SA | ROBINSON | R44 II | No | 1 | Reciprocating | Part 91: General Aviation |  | Business |  |  | 3 | 3 |  | VMC | LANDING | Factual <br />09/01/2016<br/>Final <br />11/28/2016 | 11/28/2016 | 
20150825X45052 | Accident | CEN15LA379 | 08/25/2015 | Ketchum, OK | United States | 36.549166 | -95.000278 | 1K8 | South Grand Lake Regional | Non-Fatal | Substantial | Helicopter | N444KD | ROBINSON HELICOPTER COMPANY | R44 II | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  | 1 |  | VMC |  | Factual <br />08/08/2016<br/>Final <br />09/01/2016 | 09/01/2016 | 
20150824X75351 | Accident | WPR15LA249 | 08/23/2015 | Mesa, AZ | United States | 33.460833 | -111.728334 | FFZ | FALCON FLD | Non-Fatal | Substantial | Helicopter | N315TV | SCHWEIZER | 269C - UNDESIGNAT | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  | 1 | 1 | VMC | APPROACH | Factual <br />05/23/2016<br/>Final <br />07/11/2016 | 07/11/2016 | 
20150823X74316 | Accident | CEN15LA375 | 08/22/2015 | Carlos, TX | United States | 30.601111 | -96.075834 |  | N/A | Non-Fatal | Substantial | Helicopter | N445HS | ROBINSON HELICOPTER COMPANY | R44 II | No | 1 | Reciprocating | Part 91: General Aviation |  | Business |  |  | 2 |  |  | VMC | MANEUVERING | Factual <br />04/21/2016<br/>Final <br />11/07/2016 | 11/07/2016 | 
20150902X14701 | Accident | CEN15WA397 | 08/22/2015 | Natolin village, Poland | Poland |  |  |  |  | Non-Fatal | Destroyed | Helicopter |  | ROBINSON | R44 | No |  |  |  |  |  |  |  |  | 1 | 1 |  | OTHER | Foreign |  | 
20150902X03440 | Accident | CEN15LA396 | 08/21/2015 | Butler, MO | United States | 38.289722 | -94.340277 | BUM | BUTLER MEMORIAL | Non-Fatal | Substantial | Helicopter | Unreg | BURNS | Mini 500 | Yes | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  |  | 1 | VMC |  | Factual <br />09/21/2016<br/>Final <br />11/28/2016 | 11/28/2016 | 
20150901X73122 | Accident | CEN15LA395 | 08/21/2015 | Port O'Connor, TX | United States | 28.427500 | -96.455278 |  | N/A | Non-Fatal | Substantial | Helicopter | N429AR | BELL HELICOPTER TEXTRON CANADA | 429 | No | 2 | Turbo Shaft | Part 91: General Aviation |  | Personal |  |  |  |  | 3 | VMC |  | Factual <br />03/13/2017<br/>Final <br />05/01/2017 | 05/01/2017 | 
20150827X20826 | Accident | GAA15CA238 | 08/19/2015 | Ronkonkoma, NY | United States | 40.791666 | -73.103333 | ISP | LONG ISLAND MAC ARTHUR | Non-Fatal | Substantial | Helicopter | N86EH | ROBINSON HELICOPTER | R22 BETA | No | 1 | Reciprocating | Part 91: General Aviation |  | Instructional |  |  |  | 1 | 1 | VMC | MANEUVERING | Factual <br />10/06/2015<br/>Final <br />10/08/2015 | 10/08/2015 | 
20150820X74555 | Accident | WPR15LA248 | 08/19/2015 | Ironside, OR | United States | 44.338611 | -118.111667 |  | N/A | Non-Fatal | Substantial | Helicopter | N1043T | SIKORSKY | S 61A | No | 2 | Turbo Shaft | Part 133: Rotorcraft Ext. Load |  | Firefighting |  |  |  | 1 | 1 | VMC | MANEUVERING | Preliminary<br />09/03/2015 | 09/03/2015 | 
20150820X20604 | Accident | CEN15LA370 | 08/18/2015 | Cresco, IA | United States | 43.365278 | -92.133056 |  | N/A | Non-Fatal | Substantial | Helicopter | N5743W | BELL | 206B | No | 1 | Turbo Shaft | Part 137: Agricultural |  | Aerial Application |  |  |  |  | 1 | VMC | MANEUVERING | Factual <br />05/23/2017<br/>Final <br />07/26/2017 | 07/26/2017 | 
